week,count
1,289
2,361
3,347
4,355
5,366
6,361
7,389
8,315
9,366
10,371
11,386
12,395
13,381
14,375
15,379
16,365
17,389
18,403
19,391
20,378
21,386
22,381
23,391
24,397
25,379
26,410
27,367
28,366
29,387
30,394
31,363
32,393
33,384
34,358
35,420
36,393
37,389
38,439
39,362
40,371
41,375
42,399
43,424
44,414
45,392
46,435
47,408
48,366
49,404
50,362
51,287
52,224
53,97
