week,count
1,20
2,37
3,37
4,27
5,30
6,40
7,49
8,25
9,22
10,40
11,23
12,28
13,25
14,15
15,8
16,6
17,2
18,2
19,1
20,4
21,12
22,17
23,16
24,26
25,19
26,39
27,33
28,35
29,42
30,27
31,29
32,25
33,30
34,34
35,62
36,37
37,48
38,27
39,35
40,38
41,35
42,25
43,34
44,24
45,40
46,25
47,28
48,28
49,31
50,34
51,26
52,17
53,3
